2025-07-26 19:25:19 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-26 19:25:19 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-26 19:25:20 | INFO | __main__:_on_startup:99 | 🚀 TelegramBot started successfully!
2025-07-26 19:25:20 | INFO | __main__:_on_startup:100 | Bot description: Telegram Bot
2025-07-26 19:25:20 | INFO | __main__:_on_startup:107 | Bot commands set successfully
2025-07-26 19:25:20 | INFO | __main__:run:137 | Starting bot polling...
2025-07-26 19:26:55 | INFO | __main__:_on_shutdown:112 | 🛑 Shutting down bot...
2025-07-26 19:26:55 | INFO | __main__:_on_shutdown:115 | Bot shutdown completed
2025-07-26 23:02:12 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-26 23:02:12 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-26 23:02:12 | INFO | __main__:_on_startup:99 | 🚀 TelegramBot started successfully!
2025-07-26 23:02:12 | INFO | __main__:_on_startup:100 | Bot description: Telegram Bot
2025-07-26 23:02:12 | INFO | __main__:_on_startup:107 | Bot commands set successfully
2025-07-26 23:02:12 | INFO | __main__:run:137 | Starting bot polling...
2025-07-26 23:04:13 | INFO | __main__:_on_shutdown:112 | 🛑 Shutting down bot...
2025-07-26 23:04:13 | INFO | __main__:_on_shutdown:115 | Bot shutdown completed
2025-07-26 23:07:15 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-26 23:07:15 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-26 23:07:15 | INFO | __main__:_on_startup:99 | 🚀 TelegramBot started successfully!
2025-07-26 23:07:15 | INFO | __main__:_on_startup:100 | Bot description: Telegram Bot
2025-07-26 23:07:15 | INFO | __main__:_on_startup:107 | Bot commands set successfully
2025-07-26 23:07:15 | INFO | __main__:run:137 | Starting bot polling...
2025-07-26 23:13:55 | INFO | __main__:_on_shutdown:112 | 🛑 Shutting down bot...
2025-07-26 23:13:55 | INFO | __main__:_on_shutdown:115 | Bot shutdown completed
2025-07-26 23:23:40 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-26 23:23:40 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-26 23:23:41 | INFO | __main__:_on_startup:99 | 🚀 TelegramBot started successfully!
2025-07-26 23:23:41 | INFO | __main__:_on_startup:100 | Bot description: Telegram Bot
2025-07-26 23:23:41 | INFO | __main__:_on_startup:107 | Bot commands set successfully
2025-07-26 23:23:41 | INFO | __main__:run:137 | Starting bot polling...
2025-07-26 23:25:00 | INFO | __main__:_on_shutdown:112 | 🛑 Shutting down bot...
2025-07-26 23:25:00 | INFO | __main__:_on_shutdown:115 | Bot shutdown completed
2025-07-26 23:25:08 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-26 23:25:08 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-26 23:25:08 | INFO | __main__:_on_startup:99 | 🚀 TelegramBot started successfully!
2025-07-26 23:25:08 | INFO | __main__:_on_startup:100 | Bot description: Telegram Bot
2025-07-26 23:25:08 | INFO | __main__:_on_startup:107 | Bot commands set successfully
2025-07-26 23:25:08 | INFO | __main__:run:137 | Starting bot polling...
2025-07-26 23:27:47 | INFO | __main__:_on_shutdown:112 | 🛑 Shutting down bot...
2025-07-26 23:27:47 | INFO | __main__:_on_shutdown:115 | Bot shutdown completed
2025-07-26 23:27:54 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-26 23:27:54 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-26 23:27:54 | INFO | __main__:_on_startup:99 | 🚀 TelegramBot started successfully!
2025-07-26 23:27:54 | INFO | __main__:_on_startup:100 | Bot description: Telegram Bot
2025-07-26 23:27:55 | INFO | __main__:_on_startup:107 | Bot commands set successfully
2025-07-26 23:27:55 | INFO | __main__:run:137 | Starting bot polling...
2025-07-26 23:29:59 | INFO | __main__:_on_shutdown:112 | 🛑 Shutting down bot...
2025-07-26 23:29:59 | INFO | __main__:_on_shutdown:115 | Bot shutdown completed
2025-07-26 23:30:06 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-26 23:30:06 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-26 23:30:06 | INFO | __main__:_on_startup:99 | 🚀 TelegramBot started successfully!
2025-07-26 23:30:06 | INFO | __main__:_on_startup:100 | Bot description: Telegram Bot
